tokens,label
The system as described above has its greatest application in an arrayed <e2> configuration </e2> of antenna <e1> elements </e1> .,Component-Whole
The <e1> child </e1> was carefully wrapped and bound into the <e2> cradle </e2> by means of a cord .,Other
The <e2> author </e2> of a keygen uses a <e1> disassembler </e1> to look at the raw assembly code .,Instrument-Agency
A misty <e1> ridge </e1> uprises from the <e2> surge </e2> .,Other
The <e1> student </e1> <e2> association </e2> is the voice of the undergraduate student population of the State University of New York at Buffalo .,Member-Collection
This is the sprawling <e1> complex </e1> that is Peru's largest <e2> producer </e2> of silver .,Other
The current view is that the chronic <e2> inflammation </e2> in the distal part of the stomach caused by Helicobacter pylori <e1> infection </e1> results in an increased acid production from the non-infected upper corpus region of the stomach .,Cause-Effect
<e1> People </e1> have been moving back into <e2> downtown </e2> .,Entity-Destination
The <e1> lawsonite </e1> was contained in a <e2> platinum crucible </e2> and the counter-weight was a plastic crucible with metal pieces .,Content-Container
The solute was placed inside a beaker and 5 mL of the <e1> solvent </e1> was pipetted into a 25 mL glass <e2> flask </e2> for each trial .,Entity-Destination
The fifty <e1> essays </e1> collected in this <e2> volume </e2> testify to most of the prominent themes from Professor Quispel's scholarly career .,Member-Collection
Their <e1> composer </e1> has sunk into <e2> oblivion </e2> .,Other
The Pulitzer Committee issues an official <e1> citation </e1> explaining the <e2> reasons </e2> for the award .,Message-Topic
The <e2> burst </e2> has been caused by water hammer <e1> pressure </e1> .,Cause-Effect
Even commercial <e2> networks </e2> have moved into <e1> high-definition broadcast </e1> .,Instrument-Agency
It was a friendly <e1> call </e1> to remind them about the <e2> bill </e2> and make sure they have a copy of the invoice .,Message-Topic
"Texas-born <e2> virtuoso </e2> finds harmony , sophistication in Appalachian <e1> instrument </e1> .",Instrument-Agency
"The <e2> factory's </e2> products have included flower pots , Finnish rooster-whistles , pans , <e1> trays </e1> , tea pots , ash trays and air moisturisers .",Product-Producer
The girl showed a photo of apple <e2> tree </e2> <e1> blossom </e1> on a fruit tree in the Central Valley .,Component-Whole
"They tried an assault of their own an hour later , with two columns of sixteen tanks backed by a <e2> battalion </e2> of Panzer <e1> grenadiers </e1> .",Member-Collection
"Their <e1> knowledge </e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2> recruits </e2> in the Roman army , and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces .",Entity-Origin
She soon had a <e2> stable </e2> of her own rescued <e1> hounds </e1> .,Member-Collection
"The <e1> singer </e1> , who performed three of the nominated songs , also caused a <e2> commotion </e2> on the red carpet .",Cause-Effect
His intellectually engaging books and <e1> essays </e1> remain pertinent to illuminating contemporary <e2> history </e2> .,Other
"Poor hygiene controls , reports of a <e2> brace </e2> of gamey <e1> grouse </e1> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption .",Member-Collection
